accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.44,0.23,0.86, -0.75, 3.30, 6.18,
 0.45,0.23,0.85, -1.36, 4.55, 6.50,
 0.45,0.23,0.84, -1.92, 5.62, 7.37,
 0.44,0.21,0.84, -1.71, 6.06, 7.63,
 0.43,0.21,0.82, -1.37, 5.97, 7.95,
 0.43,0.20,0.80, -0.99, 6.14, 8.17,
 0.43,0.19,0.80, -0.85, 5.33, 7.85,
 0.42,0.18,0.78, -0.24, 3.50, 7.62,
 0.44,0.18,0.79, -0.23, 3.05, 7.69,
 0.45,0.18,0.78, 0.63, 3.60, 7.86,
 0.46,0.18,0.78, 1.57, 2.21, 8.58,
 0.46,0.18,0.79, 2.12, 1.42, 9.42,
 0.47,0.19,0.79, 2.29, 0.64, 10.52,
 0.46,0.20,0.80, 2.43, 0.15, 11.40,
 0.47,0.20,0.81, 2.90, -0.24, 11.97,
 0.47,0.21,0.82, 2.61, 0.76, 12.61,
 0.46,0.21,0.83, 2.50, 1.25, 12.84,
 0.46,0.21,0.82, 2.50, 1.56, 12.72,
 0.45,0.21,0.83, 2.46, 1.95, 12.56,
 0.45,0.22,0.83, 2.15, 2.66, 11.63,
 0.45,0.22,0.83, 1.73, 3.31, 10.95,
 0.44,0.22,0.83, 1.42, 3.21, 10.52,
 0.45,0.22,0.82, 0.95, 3.88, 10.46,
 0.45,0.22,0.82, 1.31, 4.50, 10.38,
 0.44,0.22,0.83, 1.89, 4.41, 10.49,
 0.46,0.22,0.81, 2.18, 3.48, 10.41,
 0.46,0.21,0.82, 1.76, 3.48, 10.44,
 0.45,0.20,0.82, 1.27, 4.40, 10.70,
 0.45,0.20,0.82, 0.87, 4.12, 10.58,
 0.45,0.20,0.82, 0.67, 4.85, 10.63,
 0.46,0.20,0.82, 0.70, 5.37, 10.70,
 0.46,0.20,0.83, 0.24, 5.30, 10.63,
 0.46,0.20,0.82, 0.02, 5.54, 10.50,
 0.46,0.20,0.82, 0.63, 5.44, 11.10,
 0.46,0.20,0.81, 0.96, 5.66, 11.02,
 0.44,0.21,0.82, 1.45, 5.39, 10.23,
 0.45,0.20,0.82, 1.65, 5.44, 9.74,
 0.44,0.21,0.83, 1.15, 5.54, 9.22,
 0.44,0.22,0.84, 1.07, 4.96, 9.39,
 0.44,0.22,0.85, 0.34, 5.37, 8.89,
 0.44,0.21,0.84, 0.12, 5.28, 8.21,
 0.43,0.22,0.83, -0.35, 5.34, 7.13,
 0.43,0.22,0.84, -0.53, 5.11, 6.53,
 0.43,0.22,0.83, -0.43, 5.66, 6.84,
 0.43,0.22,0.82, -0.09, 5.85, 6.79,
 0.41,0.21,0.79, 5.01, 10.26, 6.95,
 0.41,0.23,0.82, 3.30, 9.10, 10.60,
 0.41,0.23,0.82, 4.49, 8.55, 9.37,
 0.41,0.23,0.83, 1.28, 5.86, 10.50,
 0.39,0.24,0.81, 1.71, 6.17, 6.46,
 0.40,0.22,0.81, 1.83, 6.02, 8.75,
 0.40,0.23,0.82, 1.44, 5.73, 6.47,
 0.41,0.22,0.83, 1.18, 4.76, 6.96,
 0.42,0.23,0.83, 1.19, 5.04, 6.93,
 0.42,0.22,0.85, 0.27, 3.66, 7.33,
 0.43,0.22,0.83, 0.75, 4.20, 7.22,
 0.43,0.21,0.85, 0.76, 3.83, 6.92,
 0.44,0.23,0.83, 2.03, 6.64, 7.28,
 0.45,0.22,0.84, 2.46, 7.25, 8.00,
 0.45,0.22,0.85, 2.70, 7.66, 8.15,
 0.45,0.22,0.85, 2.31, 8.31, 7.85,
