accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.13,-0.15,1.0,-5.44,-5.59,2.47
0.12,-0.16,0.98,-9.33,-2.44,-2.81
0.15,-0.15,0.98,-10.81,6.03,-6.6
0.12,-0.15,1.02,-10.35,6.85,-8.9
0.16,-0.13,1.03,-12.03,10.08,-10.55
0.15,-0.14,1.03,-11.92,5.57,-8.64
0.19,-0.16,1.03,-12.02,8.03,-7.66
0.19,-0.15,1.02,-12.29,12.4,-7.73
0.17,-0.14,1.05,-14.38,6.32,-5.98
0.19,-0.15,1.01,-12.52,7.05,-4.85
0.17,-0.16,1.03,-10.9,5.69,-4.82
0.17,-0.16,1.02,-8.78,3.16,-5.16
0.18,-0.17,0.99,-5.51,1.31,-4.55
0.18,-0.15,1.03,-4.69,-1.24,-3.98
0.18,-0.14,1.02,-4.46,-4.75,-2.24
0.17,-0.14,0.99,-4.55,-11.54,-0.52
0.13,-0.15,0.99,-1.44,-29.66,1.27
0.04,-0.2,0.95,-0.17,-61.85,1.04
0.07,-0.22,0.89,-0.85,-81.57,0.31
0.08,-0.32,0.88,5.8,-85.54,-7.15
