accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.12,0.03,0.98,12.69,1.04,2.64
0.14,0.04,0.98,12.23,7.54,3.01
0.1,0.04,0.99,12.34,11.94,1.98
0.07,0.05,1.04,11.13,9.4,-0.66
0.08,0.04,1.06,9.31,8.95,-1.77
0.09,0.05,1.06,6.9,6.35,-2.14
0.14,0.05,1.02,8.38,9.54,12.66
0.13,0.05,1.03,6.17,12.78,0.46
0.11,0.05,1.04,6.21,12.85,1.37
0.08,0.04,1.03,6.81,12.5,0.78
0.07,0.04,1.06,3.39,9.05,-0.24
0.07,0.05,1.05,4.43,7.6,-1.36
0.11,0.05,1.03,4.75,8.7,-0.46
0.1,0.06,1.06,3.51,9.11,0.37
0.07,0.05,1.05,4.05,8.49,0.23
0.07,0.07,1.05,1.94,7.63,-0.73
0.08,0.05,1.03,1.79,4.53,-0.61
0.1,0.05,1.03,1.34,3.73,-0.67
0.09,0.06,1.04,0.55,6.0,0.0
0.12,0.06,1.04,-1.15,7.59,1.74
0.14,0.06,1.06,-3.88,14.35,3.74
0.09,0.05,1.07,-5.45,14.61,4.56
0.03,0.04,1.08,-8.02,10.64,3.04
0.04,0.03,1.04,-8.12,8.47,1.74
0.02,0.02,1.03,-8.03,1.65,0.43
0.01,0.02,1.02,-7.34,-4.05,-2.08
0.05,0.03,0.94,-4.12,0.06,-3.1
0.09,0.04,0.98,-3.18,1.66,-2.09
0.09,0.05,0.95,-1.66,3.82,-1.1
0.07,0.05,0.97,-0.6,4.69,-1.16
0.08,0.06,1.01,-3.45,6.26,-1.19
0.09,0.06,0.96,-2.0,7.18,0.0
0.06,0.06,0.96,1.86,6.63,0.27
0.04,0.06,0.99,1.65,5.8,-0.87
0.04,0.05,1.01,2.4,5.05,-1.05
0.07,0.06,1.0,3.5,7.66,-0.4
0.05,0.07,1.0,4.67,7.59,-0.95
0.06,0.07,1.02,4.27,6.95,-0.75
0.06,0.08,1.06,2.38,5.97,-0.95
0.05,0.07,1.03,2.55,6.21,-1.08
0.07,0.05,1.01,2.0,6.31,-0.14
0.07,0.06,1.04,1.44,10.06,0.35
0.05,0.06,1.01,4.72,3.79,1.98
0.05,0.07,1.02,3.59,11.25,0.17
0.03,0.06,1.03,3.86,5.33,-0.14
0.05,0.06,1.0,6.93,10.52,-0.47
0.06,0.05,1.04,6.23,0.41,3.02
0.07,0.07,1.03,4.84,12.02,2.17
0.06,0.06,1.02,4.05,18.52,3.88
0.04,0.04,1.04,2.49,21.82,4.58
0.05,0.05,1.07,-1.79,34.2,9.54
-0.02,0.07,1.08,-7.48,27.88,5.07
-0.12,0.05,0.98,0.06,11.88,-1.54
-0.02,0.04,1.02,1.51,2.66,-1.4
-0.01,0.06,1.03,0.66,-1.21,-0.6
-0.0,0.05,0.99,1.76,-6.52,-0.56
-0.01,0.05,0.98,2.73,-1.53,-2.37
-0.01,0.05,1.0,3.95,-2.27,-2.41
0.02,0.05,0.99,4.78,-0.12,-1.37
-0.01,0.04,1.04,4.53,-1.54,-1.73
